,college_name,tcs_region
452,INTERNATIONAL INSTITUTE OF INFORMATION TECHNOLOGY - BHUBANESHWAR,Kolkata
453,"VELAMMAL INSTITUE OF TECHNOLOGY, PANCHETTY",Chennai
458,"School of IT, Guru Gobind Indraprastha Univ, Delhi",Delhi
459,Faculty of Enginnering & technology(Formerly CITM Faridabad),Delhi
460,"Dhirubhai Ambani Inst of Information & Communication Tech, Gujarat.",Ahmedabad
471,"Cochin Univ. of Science & Tech., Cochin",Trivandrum
472,SARDAR PATEL COLLEGE OF INFORMATION TECHNOLOGY,Mumbai
478,"Rajkumar Goel Institute of Technology, Ghaziabad",Delhi
483,"Gogte Institute of Technology, Belgaum",Bangalore
485,"Academy of Technology, Kolkata",Kolkata
486,Amity School of Engineering,Delhi
490,College of Engg Guindy Anna University,Chennai
491,"Maulana Azad National Institute of Technology, Bhopal",Mumbai
493,"Govt Engg College, Thrissur",Trivandrum
494,SRI KRISHNA COLLEGE OF TECHNOLOGY - COIMBATORE,Chennai
496,"Panimalar Engineering College, Thiruvallur",Chennai
497,"Banasthali Vidyapith, Jaipur",Delhi
498,"Institute of Engineering & Techonolgy, DAVV",Mumbai
503,"Gudlavalleru Engg. College, A P",Hyderabad
510,"Institute of Tech & Mgmt, Gurgaon",Delhi
514,"PADMABHOOSHAN VASANTDADA PATIL INSTITUTE OF TECHNOLOGY, PUNE",Pune
518,"Mahatma Gandhi Institute of Technology, Gandipet, Hyderabad",Hyderabad
526,SRM University,Chennai
528,"Pragathi College of Engineering, Kakinada",Hyderabad
533,"Maharashtra Institute of Technology, Pune",Pune
535,"Rungta College of Engineering and Technology, Bhilai",Mumbai
537,Bapuji Inst of Eng and Tech - Davanagere,Bangalore
538,University of Pune,Pune
539,"G B Pant Engg College, Garhwal Univ",Delhi
540,Ramco Institute of Technology,Chennai
542,"Govt. College of Engineering & Textile Technology, Berhampore",Kolkata
546,University of Madras,Chennai
548,"Thapar Inst of Tech., Patiala",Delhi
560,"Inst. of Road Trans, Tech., Erode",Chennai
562,SRI SHAKTHI INSTITUTE OF ENGINEERING AND TECHNOLOGY,Chennai
563,Gokaraju Rangaraju Institute of Engg. & Management. Hyderabad,Hyderabad
566,Bengal Institute of Technology,Kolkata
574,"Sree Chitra Thirunal COE, Trivandrum",Trivandrum
589,"Terna Engineering College, Nerul",Mumbai
590,"Chandigarh Engineering College, Landran",Delhi
591,"Modern College, Pune",Pune
604,"Maharaja Agrasen Institute of Technology, Rohini",Delhi
606,"Bharathi Vidyapeeth, Pune",Pune
608,"Bhoj Reddy Engineering College, Hyderabad",Hyderabad
616,Goa University,Mumbai
618,"Kurukshetra University, Kurukshetra",Delhi
626,"Dr. B. R Ambedkar University,Agra",Mumbai
630,Supreme Knowledge Foundation Group of Institutions,Kolkata
631,West Bengal University of Technology,Kolkata
633,SHRI SHANKARACHARYA INSTITUTE OF PROFESSIONAL MANAGEMENT AND TECHNOLOGY - RAIPUR,Mumbai
645,"Koneru Lakshmiah COE, A.P",Hyderabad
649,Sree Buddha College of Engineering Pattoor,Trivandrum
653,"Rajiv Gandhi Proudyogiki Vishwavidyala, Bhopal",Mumbai
657,Arya College of Engineering & I.T.,Delhi
664,"JSS Academy of Technical Education, U P Technical Univ., Noida",Delhi
670,"Jawaharlal Nehru Technical University's Coll of Engg, Kukatpally, JNT Univ",Hyderabad
671,Dhanalakshmi College of Engineering,Chennai
673,"T. K. M. College of Engineering, Kollam",Trivandrum
679,IIT - Madras,Chennai
682,I.T.S Engineering College,Delhi
690,"GYAN GANGA COLLEGE OF TECHNOLOGY (GGCT), JABALPUR",Mumbai
692,"NATIONAL INSTITUTE OF TECHNOLOGY, SURATHKAL",Bangalore
696,Chennai Institute of Technology,Chennai
700,"Mailam Engineering College, Chennai",Chennai
701,IITM GWALIOR,Delhi
703,"KLN College of Engineering, Madurai",Chennai
707,"Smt. Kashi Bhai Nawale College of Engineering, Pune",Pune
714,K.S.Rangasamy Coll. of Tech-Tiruchengode,Chennai
718,Indira Gandhi Instt of Technology-Sarang,Kolkata
719,"Centre for Development of Advanced Computing (C-DAC) , Noida",Delhi
724,TECHNO INDIA NJR INSTITUTE OF TECHNOLOGY UDAIPUR,Ahmedabad
726,"U V Patel College of Engineering, Kherva",Ahmedabad
730,Sree Buddha College of Engineering Pattoor Alappuzha,Trivandrum
731,"Guru Nanak Dev Engineering College, Ludhiana",Delhi
732,PDM College of Engineering,Delhi
739,"Jawaharlal Nehru Engg. College, Aurangabad",Pune
745,"RAJARAMBAPU INSTITUTE OF TECHNOLOGY, RAJARAMNAGAR",Pune
753,"Govt College of Engineering, Jabalpur",Mumbai
767,Sahrdaya College of Engineering and Technology,Trivandrum
770,"College of Technology- G.B. Pant Univ, Pantnagar(UP)",Delhi
778,"Birsa Institute of Technology, Sindri",Kolkata
789,"RMK Engg Coll, Anna Univ.Kavaraipettai",Chennai
797,Bengal College Of Engg And Technology For women Durgapur,Kolkata
799,"Sagar Institute of Research and Technology, Bhopal",Mumbai
800,LDRP ITR GANDHINAGAR,Ahmedabad
807,"IIIT, Allahabad",Lucknow
809,BIT Mesra,Kolkata
818,piet nagpur,Mumbai
820,VIDYA JYOTHI INSTITUTE OF TECHNOLOGY - AP,Hyderabad
821,indo global college of engineering abhipur,Delhi
823,"Rajiv Gandhi Inst of Tech, Kottayam",Trivandrum
836,Ambala College of Engineering and Applied Research,Delhi
850,Indore Institute of Science & Technology,Mumbai
855,"Punjab University., Chandigarh",Delhi
860,Christ College Of Enginering And Technology Puducherry,Chennai
872,"Govt. Engineering College, Barton Hills, Trivandrum",Trivandrum
875,Amrita Instt of Technology&Sc-Coimbatore,Chennai
878,Marwadi Education Foundations Group Of Institutions,Ahmedabad
882,SalCollegeOfEngineering,Ahmedabad
886,"PRIYADARSHINI INSTITUTE OF ENGINEERING AND TECHNOLOGY,NAGPUR",Mumbai
888,"MEERUT INSTITUTE OF TECHNOLOGY, MEERUT",Delhi
905,NBN Sinhgad School of Engineering,Pune
917,"University of Burdwan, Burdwan",Kolkata
924,"LAXMINARAIN COLLEGE OF TECHNOLOGY AND SCIENCE (LNCTS), BHOPAL",Mumbai
932,"Priyadarshini College of Engg & Arch.- Nagpur Univ., Nagpur",Mumbai
936,Saroj Mohan Institute of Technology,Kolkata
942,"PUNE INSTITUTE OF COMPUTER TECHNOLOGY, PUNE",Pune
946,"Bapatla Engineering College, Bapatla",Hyderabad
947,"Government Engineering College, Ajmer",Delhi
948,"Coimbatore Inst. of Tech., Coimbatore",Chennai
950,"UP Technical University, Lucknow",Delhi
952,"KITS COLLEGE OF ENGG., KOLHAPUR",Pune
955,"College of Engineering, Chengannur",Trivandrum
974,"SGGS Coll of Engg & Tech, Nanded",Pune
977,Shri Shankaracharya College of Engg & Tech,Mumbai
981,C U Shah College of Engineering and Technology,Ahmedabad
989,"GMR Institute of Technology (GMRIT) , Srikakulam",Hyderabad
994,"SJB Institute of Technology, Kengeri, Bangalore",Bangalore
998,DUMKAL INSTITUTE OF ENGINEERING AND TECHNOLOGY - KOLKATA,Kolkata
1002,K.RAMAKRISHNAN COLLEGE OF ENGINEERING,Chennai
1007,"IET, Agra University",Mumbai
1008,Siliguri Institute of Technology,Kolkata
1009,"M E S Col of Eng, Kuttipuram,Calicut University",Trivandrum
1014,Sinhgad COE - Pune,Pune
1020,"Vel Tech Hightech Dr. Rangarajan Dr. Sakunthala Engineering College, Chennai",Chennai
1032,UNIVERSITY OF PETROLEUM & ENERGY STUDIES - DEHRADUN,Delhi
1033,"M S Ramaiah Institute of Technology, Visveswaraiah Technological University",Bangalore
1037,"Vignan's Engineering College, Guntur",Hyderabad
1052,PRANVEER SINGH INSTITUTE OF TECHNOLOGY,Lucknow
