,college_name,college_name_modified,tcs_region,tcs_region_modified
838,"ADITYA ENGINEERING COLLEGE, KAKINADA","ADITYA ENGINEERING COLLEGE, KAKINADA",Hyderabad,Hyderabad
843,Inst of Eng and Tech ­ Davanagere,Bapuji Inst of Eng and Tech ­ Davanagere,Bapuji,Bangalore
844,National Inst of Sc,National Inst of Sc,Kolkata,Kolkata
870,Government College of Engineering,Government College of Engineering,Kolkata,Kolkata
871,GOVERNMENT COLLEGE OF ENGINEERING AND CERAMIC TECHNOLOGY,GOVERNMENT COLLEGE OF ENGINEERING AND CERAMIC TECHNOLOGY,Kolkata,Kolkata
874,"ATHARVA COLLEGE OF ENGG, MUMBAI","ATHARVA COLLEGE OF ENGG, MUMBAI",Mumbai,Mumbai
877,"KLN College of Engineering, Madurai","KLN College of Engineering, Madurai",Chennai,Chennai
884,RVR,RVR,Hyderabad,Hyderabad
897,Budge Budge Institute of Technology,Budge Budge Institute of Technology,Kolkata,Kolkata
899,"M. Kumarasamy College of Engineering, Karur","M. Kumarasamy College of Engineering, Karur",Chennai,Chennai
909,"Atharva College of Engineering, Mumbai","Atharva College of Engineering, Mumbai",Mumbai,Mumbai
910,Punjabi University ­ Patiala,Punjabi University ­ Patiala,Delhi,Delhi
929,"Vishwajyothi College of Engineering and Technology, Vazhakulam","Vishwajyothi College of Engineering and Technology, Vazhakulam",Trivandrum,Trivandrum
933,Techno India University,Techno India University,Kolkata,Kolkata
942,Federal Institute of Scince and Technology. Ernakulam,Federal Institute of Scince and Technology. Ernakulam,Trivandrum,Trivandrum
947,Parul Institute of Engineering,Parul Institute of Engineering,Ahmedabad,Ahmedabad
948,"Amrutvahini College of Engineering, Sangamner","Amrutvahini College of Engineering, Sangamner",Pune,Pune
950,"Karpagam College of Engineering, Coimbatore","Karpagam College of Engineering, Coimbatore",Chennai,Chennai
957,"M. B. M. Engg. College, Jodhpur","M. B. M. Engg. College, Jodhpur",Delhi,Delhi
963,"K.N.M.I.E.T (U.P.T.U), Modinagar","Dr. K.N.M.I.E.T (U.P.T.U), Modinagar",Dr.,Delhi
971,"Vignan's Institute of Information Technology, Visakhapatnam","Vignan's Institute of Information Technology, Visakhapatnam",Hyderabad,Hyderabad
997,Rajiv Gandhi College of Engineering,Rajiv Gandhi College of Engineering,Mumbai,Mumbai
999,"SJB Institute of Technology, Kengeri, Bangalore","SJB Institute of Technology, Kengeri, Bangalore",Bangalore,Bangalore
1008,"Govt Engg College, Thrissur","Govt Engg College, Thrissur",Trivandrum,Trivandrum
1012,RAGHU ENGINEERING COLLEGE,RAGHU ENGINEERING COLLEGE,Hyderabad,Hyderabad
1025,"Banasthali Vidyapith, Jaipur","Banasthali Vidyapith, Jaipur",Delhi,Delhi
1039,"Vishwakarma Inst of Tech, Pune","Vishwakarma Inst of Tech, Pune",Pune,Pune
1042,"CMR Institute of Technology, Bangalore","CMR Institute of Technology, Bangalore",Bangalore,Bangalore
1053,UniversityPunjab,Chitkara UniversityPunjab,Chitkara,Delhi
1063,"GMR Institute of Technology (GMRIT) , Srikakulam","GMR Institute of Technology (GMRIT) , Srikakulam",Hyderabad,Hyderabad
1068,"Rmd Engineering College, Chennai","Rmd Engineering College, Chennai",Chennai,Chennai
1077,"Srkr Engg. College,Bhimavaram","Srkr Engg. College,Bhimavaram",Hyderabad,Hyderabad
1102,"CVR College of Engineering, Vastunagar Gayatri Vidya Parishad College of Engg., Visakhapatnam,","CVR College of Engineering, Vastunagar Gayatri Vidya Parishad College of Engg., Visakhapatnam,",Hyderabad,Hyderabad
1103,"(Affiliated To J.N.T. Univ, Hyderabad)","(Affiliated To J.N.T. Univ, Hyderabad)",Hyderabad,Hyderabad
1108,"Government College of Tech., Coimbatore","Government College of Tech., Coimbatore",Chennai,Chennai
1114,"JNTUH School of Information Technology, Hyderabad","JNTUH School of Information Technology, Hyderabad",Hyderabad,Hyderabad
1123,Krishna Engineering College,Krishna Engineering College,Delhi,Delhi
1124,St. Martin's Engineering College,St. Martin's Engineering College,Hyderabad,Hyderabad
1127,Indore Institute of Science,Indore Institute of Science,Mumbai,Mumbai
1128,BHAGWAN PARSHURAM INSTITUTE OF TECHNOLOGY ­ DELHI,BHAGWAN PARSHURAM INSTITUTE OF TECHNOLOGY ­ DELHI,Delhi,Delhi
1130,"Rachna College of Engineering, Delhi","Manav Rachna College of Engineering, Delhi",Manav,Delhi
1132,CGC Jhanjeri,CGC Jhanjeri,Delhi,Delhi
1134,"D. Y. Patil College of Engineering, Pune","D. Y. Patil College of Engineering, Pune",Pune,Pune
1136,"Govt. College of Engineering, Ujjain, MP","Govt. College of Engineering, Ujjain, MP",Mumbai,Mumbai
1140,christ university faculty of engineering,christ university faculty of engineering,Bangalore,Bangalore
1160,John Cox Memorial CSI Institute of Technology,John Cox Memorial CSI Institute of Technology,Trivandrum,Trivandrum
1166,Sree Buddha College of Engineering Pattoor,Sree Buddha College of Engineering Pattoor,Trivandrum,Trivandrum
1170,Leelaben Dashrathbhai Ramdas Patel Institute of Technology and Research,Leelaben Dashrathbhai Ramdas Patel Institute of Technology and Research,Ahmedabad,Ahmedabad
1173,"GNDU, Regional Campus, Jalandhar","GNDU, Regional Campus, Jalandhar",Delhi,Delhi
1181,Amritsar College of Engineering and Technology,Amritsar College of Engineering and Technology,Delhi,Delhi
1194,Vasireddy Venkatadri Institute of Technology,Vasireddy Venkatadri Institute of Technology,Hyderabad,Hyderabad
1198,jaipur national university,jaipur national university,Delhi,Delhi
1199,ADAMAS ISNTITUTE OF TECHNOLOGY,ADAMAS ISNTITUTE OF TECHNOLOGY,Kolkata,Kolkata
1200,"College of Engineering, Chengannur","College of Engineering, Chengannur",Trivandrum,Trivandrum
1201,"Modern College, Pune","Modern College, Pune",Pune,Pune
1205,Rajiv Gandhi University of Knowledge Technologies,Rajiv Gandhi University of Knowledge Technologies,Hyderabad,Hyderabad
1212,"Shri Ram Murti Smarak College of Engg and Tech, Bareilly NETAJI SUBHASH ENGINEERING COLLEGE, WEST","Shri Ram Murti Smarak College of Engg and Tech, Bareilly NETAJI SUBHASH ENGINEERING COLLEGE, WEST",Lucknow,Lucknow
1213,BENGAL UNIVERSITY OF TECHNOLOGY,BENGAL UNIVERSITY OF TECHNOLOGY,Kolkata,Kolkata
1226,Madras Instt. of Technology,Madras Instt. of Technology,Chennai,Chennai
1232,Sathyabama University,Sathyabama University,Chennai,Chennai
1243,Institute of Aeronautical Engineering,Institute of Aeronautical Engineering,Hyderabad,Hyderabad
1252,Nri Institute Of Technology,Nri Institute Of Technology,Hyderabad,Hyderabad
1273,St Vincent Pallotti College Of Engg And Technology,St Vincent Pallotti College Of Engg And Technology,Mumbai,Mumbai
1275,"Bharathi Vidyapeeth, Pune","Bharathi Vidyapeeth, Pune",Pune,Pune
1277,VASIREDDY VENKATADRI INSTITUTE OF ENGINEERING,VASIREDDY VENKATADRI INSTITUTE OF ENGINEERING,Hyderabad,Hyderabad
1279,St.Thomas College of Engg. Kolkatta,St.Thomas College of Engg. Kolkatta,Kolkata,Kolkata
1284,Sant Longowal Instt. of Engg.,Sant Longowal Instt. of Engg.,Delhi,Delhi
1285,"Inst. of Tech., Coimbatore","Coimbatore Inst. of Tech., Coimbatore",Coimbatore,Chennai
1295,KARUNYA UNIVERSITY,KARUNYA UNIVERSITY,Chennai,Chennai
1304,"Dayanand Sagar Col. of Engg., Bangalore","Dayanand Sagar Col. of Engg., Bangalore",Bangalore,Bangalore
1305,"GOVE. COLLEGE OF ENGINEERING, AMRAVATI","GOVE. COLLEGE OF ENGINEERING, AMRAVATI",Pune,Pune
1318,"K. I. T. S., Warangal, A.P.","K. I. T. S., Warangal, A.P.",Hyderabad,Hyderabad
1320,Indira Gandhi Instt of Technology­Sarang,Indira Gandhi Instt of Technology­Sarang,Kolkata,Kolkata
1331,"University College of Engineering, Trivandrum","University College of Engineering, Trivandrum",Trivandrum,Trivandrum
1332,Saranathan College of Engineering,Saranathan College of Engineering,Chennai,Chennai
1361,"Padmasri B.V.Raju Institute of Technology, Vishnupur","Padmasri B.V.Raju Institute of Technology, Vishnupur",Hyderabad,Hyderabad
1362,Vasavi College of Engineering ­Hyderabad,Vasavi College of Engineering ­Hyderabad,Hyderabad,Hyderabad
1381,Knowledge Institute Of Technology,Knowledge Institute Of Technology,Chennai,Chennai
1382,"J. N. Technological Univ, Hyderabad","J. N. Technological Univ, Hyderabad",Hyderabad,Hyderabad
1387,"Padmabhushan Vasantdada Patil Prathisthan's College of Engineering, Mumbai","Padmabhushan Vasantdada Patil Prathisthan's College of Engineering, Mumbai",Mumbai,Mumbai
1388,srinivasa ramanujan institute oh technology,srinivasa ramanujan institute oh technology,Hyderabad,Hyderabad
1389,bvrit hyderabad,bvrit hyderabad,Hyderabad,Hyderabad
1409,"N. Technology Institute, Anantapur","J. N. Technology Institute, Anantapur",J.,Hyderabad
1412,IIMT college of Engg.,IIMT college of Engg.,Delhi,Delhi
1422,College of Engg.,Kamaraj College of Engg.,Kamaraj,Chennai
1425,C U Shah College of Engineering and Technology,C U Shah College of Engineering and Technology,Ahmedabad,Ahmedabad
1431,Gyan Ganga Institute of Technology,Gyan Ganga Institute of Technology,Mumbai,Mumbai
1437,Anna University,Anna University,Chennai,Chennai
1462,"Krupajal Engineering College, Bhubaneswar","Krupajal Engineering College, Bhubaneswar",Kolkata,Kolkata
1463,Sarvajanik College of Engineering and Technology,Sarvajanik College of Engineering and Technology,Ahmedabad,Ahmedabad
1467,"Government Engineering College, Ajmer","Government Engineering College, Ajmer",Delhi,Delhi
1469,"Faculty of Engg, Dayal Bagh University","Faculty of Engg, Dayal Bagh University",Delhi,Delhi
1477,Budge Budge Institute Of Technology,Budge Budge Institute Of Technology,Kolkata,Kolkata
1488,"Sundararajan Enginggering College, Chennai","Meenakshi Sundararajan Enginggering College, Chennai",Meenakshi,Chennai
1500,BVB Coll of Engg,BVB Coll of Engg,Bangalore,Bangalore
1505,Marwadi Education Foundation Of Group Of INstitutions,Marwadi Education Foundation Of Group Of INstitutions,Ahmedabad,Ahmedabad
1515,SRINIVASA RAMANUJAN ISTITUTE OF TECHNOLOGY,SRINIVASA RAMANUJAN ISTITUTE OF TECHNOLOGY,Hyderabad,Hyderabad
1522,matrusri engineering college,matrusri engineering college,Hyderabad,Hyderabad
1524,"Rajkumar Goel Institute of Technology, Ghaziabad","Rajkumar Goel Institute of Technology, Ghaziabad",Delhi,Delhi
1527,"Inderprastha Engineering College, Ghaziabad","Inderprastha Engineering College, Ghaziabad",Delhi,Delhi
1547,Bengal College of Engineering,Bengal College of Engineering,Kolkata,Kolkata
1549,srinivasa ramanujan institute of technology,srinivasa ramanujan institute of technology,Hyderabad,Hyderabad
1564,Noida Institute of Engineering,Noida Institute of Engineering,Delhi,Delhi
1574,Gandhi Inst of Tech,Gandhi Inst of Tech,Hyderabad,Hyderabad
1589,NBKR Inst of Sc,NBKR Inst of Sc,Hyderabad,Hyderabad
1592,SHRI RAM MURTI SMARAK WOMENS COLLEGE OF ENGINEERING,SHRI RAM MURTI SMARAK WOMENS COLLEGE OF ENGINEERING,Lucknow,Lucknow
1598,"V.S.B. Engineering College, Karur","V.S.B. Engineering College, Karur",Chennai,Chennai
1608,D.K.T.E. Society's Textile,D.K.T.E. Society's Textile,Pune,Pune
1615,"RAJARAMBAPU INSTITUTE OF TECHNOLOGY, RAJARAMNAGAR","RAJARAMBAPU INSTITUTE OF TECHNOLOGY, RAJARAMNAGAR",Pune,Pune
1619,"Techno India College of Technology, Rajarhat","Techno India College of Technology, Rajarhat",Kolkata,Kolkata
1622,ies college of technology bhopal,ies college of technology bhopal,Mumbai,Mumbai
1623,K.RAMAKRISHNAN COLLEGE OF ENGINEERING,K.RAMAKRISHNAN COLLEGE OF ENGINEERING,Chennai,Chennai
1628,IES College Of Technology,IES College Of Technology,Mumbai,Mumbai
1635,"Godavari Institute of Engineering and Technology, Rajahmumndry","Godavari Institute of Engineering and Technology, Rajahmumndry",Hyderabad,Hyderabad
1636,Hindustan College of Science,Hindustan College of Science,Delhi,Delhi
1638,Anurag Group of Institutions Hyderabad,Anurag Group of Institutions Hyderabad,Hyderabad,Hyderabad
1640,M.I.T. ­ Aurangabad,M.I.T. ­ Aurangabad,Pune,Pune
1644,"Christ College, Bangalore University","Christ College, Bangalore University",Bangalore,Bangalore
1651,JECRC UNIVERSITY RAJASTHAN,JECRC UNIVERSITY RAJASTHAN,Delhi,Delhi
1662,"VISHNU INSTITUTE OF TECHNOLOGY, BHIMAVARAM­ HYDERABAD","VISHNU INSTITUTE OF TECHNOLOGY, BHIMAVARAM­ HYDERABAD",Hyderabad,Hyderabad
1668,Acropolis Technical Campus,Acropolis Technical Campus,Mumbai,Mumbai
1670,Tech University,Vel Tech University,Vel,Chennai
1674,Indo Global College of Engineering Abhipur Mohali,Indo Global College of Engineering Abhipur Mohali,Delhi,Delhi
1681,Rawal Institutions,Rawal Institutions,Delhi,Delhi
1700,"GVP COLLEGE OF ENGINEERING FOR WOMEN, VISAKHAPATNAM","GVP COLLEGE OF ENGINEERING FOR WOMEN, VISAKHAPATNAM",Hyderabad,Hyderabad
1703,"College of Engineering and Technology, Bhubaneswar Vishwajyothi College of Engineering and Technology,","College of Engineering and Technology, Bhubaneswar Vishwajyothi College of Engineering and Technology,",Kolkata,Kolkata
1704,Vazhakulam,Vazhakulam,Trivandrum,Trivandrum
1716,LJ,LJ,Ahmedabad,Ahmedabad
1727,Truba Inst. of Engg.,Truba Inst. of Engg.,Mumbai,Mumbai
1746,JECRC UNIVERSITY,JECRC UNIVERSITY,Delhi,Delhi
1747,saffrony institute of technology,saffrony institute of technology,Ahmedabad,Ahmedabad
1757,"K.RAMAKRISHNAN COLLEGE OF TECHNOLOGY, TRICHY","K.RAMAKRISHNAN COLLEGE OF TECHNOLOGY, TRICHY",Chennai,Chennai
1758,amity university haryana,amity university haryana,Delhi,Delhi
1780,Bharati Vidyapeeth College of engineering Lavale Pune,Bharati Vidyapeeth College of engineering Lavale Pune,Pune,Pune
1789,VIMAL JYOTHI ENGINEERING COLLEGE,VIMAL JYOTHI ENGINEERING COLLEGE,Trivandrum,Trivandrum
1797,"N.S.S. College of Engineering, Palakkad","N.S.S. College of Engineering, Palakkad",Trivandrum,Trivandrum
1816,Mahakal Institute of Technology,Mahakal Institute of Technology,Mumbai,Mumbai
1819,Shri Sant Gajanan Maharaj COE ­ Shegaon,Shri Sant Gajanan Maharaj COE ­ Shegaon,Pune,Pune
1820,Christ University Faculty Of Engineering,Christ University Faculty Of Engineering,Bangalore,Bangalore
1827,"Rajeev Gandhi Memorial College of Enginnering and Technology, Kurnool","Rajeev Gandhi Memorial College of Enginnering and Technology, Kurnool",Hyderabad,Hyderabad
1834,College of Engg,College of Engg,Kolkata,Kolkata
1840,IIT Varanasi,IIT Varanasi,Lucknow,Lucknow
1843,"Jagan Institute of Management Studies, Delhi","Jagan Institute of Management Studies, Delhi",Delhi,Delhi
1849,"Sree Chitra Thirunal COE, Trivandrum","Sree Chitra Thirunal COE, Trivandrum",Trivandrum,Trivandrum
1858,Muthoot Institute of Technology and Science,Muthoot Institute of Technology and Science,Trivandrum,Trivandrum
1883,pranveer singh institute of technology,pranveer singh institute of technology,Lucknow,Lucknow
1884,"National Engg College,Kovilpatti","National Engg College,Kovilpatti",Chennai,Chennai
1898,"Thapar Inst of Tech., Patiala","Thapar Inst of Tech., Patiala",Delhi,Delhi
1901,"JIS College of Engineering, Nadia","JIS College of Engineering, Nadia",Kolkata,Kolkata
1908,Sasi Institute of Technology and Engineering,Sasi Institute of Technology and Engineering,Hyderabad,Hyderabad
1910,"College of Engineering and Management, Mangalore","Sahyadri College of Engineering and Management, Mangalore",Sahyadri,Bangalore
1939,Indian Instt of IT,Indian Instt of IT,Trivandrum,Trivandrum
1950,"LAXMINARAIN COLLEGE OF TECHNOLOGY AND SCIENCE (LNCTS), BHOPAL","LAXMINARAIN COLLEGE OF TECHNOLOGY AND SCIENCE (LNCTS), BHOPAL",Mumbai,Mumbai
1951,,RVR nan,RVR,Hyderabad
1954,Ramco Institute of Technology,Ramco Institute of Technology,Chennai,Chennai
1972,NIT Trichy,NIT Trichy,Chennai,Chennai
1975,"COLLEGE OF ENGINEERING AND TECHNOLOGY, TIRUVALLORE","RMK COLLEGE OF ENGINEERING AND TECHNOLOGY, TIRUVALLORE",RMK,Chennai
1977,"Saveetha Engineering College,Thandalam","Saveetha Engineering College,Thandalam",Chennai,Chennai
1981,"Govt. College of Engg., Tirunelvelli.","Govt. College of Engg., Tirunelvelli.",Chennai,Chennai
1983,Delhi Institute of Technology (Renamed Netaji Subhas Institute of Technology),Delhi Institute of Technology (Renamed Netaji Subhas Institute of Technology),Delhi,Delhi
1984,"RAJALAKSHMI INSTITUTE OF TECHNOLOGY, CHENNAI","RAJALAKSHMI INSTITUTE OF TECHNOLOGY, CHENNAI",Chennai,Chennai
2001,"Guru Tegh Bahadur Institute of Technology, Delhi","Guru Tegh Bahadur Institute of Technology, Delhi",Delhi,Delhi
2002,"Amity University, Noida","Amity University, Noida",Delhi,Delhi
2008,"Rajasthan College of Engineering for Women, Jaipur","Rajasthan College of Engineering for Women, Jaipur",Delhi,Delhi
2010,"Padre Conceicao College of Engineering, Verna, Goa","Padre Conceicao College of Engineering, Verna, Goa",Mumbai,Mumbai
2018,University of Allahabad,University of Allahabad,Lucknow,Lucknow
2028,"VEER SURENDRA SAI INSTITIUTE OF TECHNOLOGY, BURLA","VEER SURENDRA SAI INSTITIUTE OF TECHNOLOGY, BURLA",Kolkata,Kolkata
2030,BUDGE BUDGE INSTITUTE OF TECHNOLOGY,BUDGE BUDGE INSTITUTE OF TECHNOLOGY,Kolkata,Kolkata
2032,Saroj Mohan Institute of Technology,Saroj Mohan Institute of Technology,Kolkata,Kolkata
2043,st vincent pallotti college of engineering and technology nagpur,st vincent pallotti college of engineering and technology nagpur,Mumbai,Mumbai
2056,Veer Bahadur Singh Purvanchal University,Veer Bahadur Singh Purvanchal University,Lucknow,Lucknow
2063,"Aalim Muhammed Salegh College of Engineering, Avadi, Chennai","Aalim Muhammed Salegh College of Engineering, Avadi, Chennai",Chennai,Chennai
2068,"Raisoni COE, Nagpur","Raisoni COE, Nagpur",Mumbai,Mumbai
2078,Mohandas College of Engineering,Mohandas College of Engineering,Trivandrum,Trivandrum
2091,"Dharmsi Desai Inst of Technology (DDIT) ­ MBA, Nadiad","Dharmsi Desai Inst of Technology (DDIT) ­ MBA, Nadiad",Ahmedabad,Ahmedabad
2099,Galgotias Institute of Management,Galgotias Institute of Management,Delhi,Delhi
2110,babaria institute of technology,babaria institute of technology,Ahmedabad,Ahmedabad
2120,Institute Of Aeronautical Engineering Dundigal Hyderbad,Institute Of Aeronautical Engineering Dundigal Hyderbad,Hyderabad,Hyderabad
2121,"T. K. M. College of Engineering, Kollam","T. K. M. College of Engineering, Kollam",Trivandrum,Trivandrum
2124,GVP COLLEGE FOR DEGREE,GVP COLLEGE FOR DEGREE,Hyderabad,Hyderabad
2128,CMR College of Engineering and Technology,CMR College of Engineering and Technology,Hyderabad,Hyderabad
2132,"Sona College of Technology, Salem","Sona College of Technology, Salem",Chennai,Chennai
2133,Supreme Knowledge Foundations And Group Of Institutions,Supreme Knowledge Foundations And Group Of Institutions,Kolkata,Kolkata
2134,Pranveer Singh Institute of Technology,Pranveer Singh Institute of Technology,Lucknow,Lucknow
2139,CHAITANYA ENGINEERING COLLEGE,CHAITANYA ENGINEERING COLLEGE,Hyderabad,Hyderabad
2143,chameli devi group of institutes,chameli devi group of institutes,Mumbai,Mumbai
2147,IEC College of Engineering and Technology,IEC College of Engineering and Technology,Delhi,Delhi
2162,"Rajiv Gandhi Inst of Tech, Kottayam","Rajiv Gandhi Inst of Tech, Kottayam",Trivandrum,Trivandrum
2164,G. Narayanamma Institute of Technology,G. Narayanamma Institute of Technology,Hyderabad,Hyderabad
2166,"Cummins College of Engg for Women, Pune","Cummins College of Engg for Women, Pune",Pune,Pune
2177,"MALABAR COLLEGE OF ENGINEERING AND TECHNOLOGY,DESAMANGALAM","MALABAR COLLEGE OF ENGINEERING AND TECHNOLOGY,DESAMANGALAM",Trivandrum,Trivandrum
2183,"Veer Narmad South Gujarat University, Surat","Veer Narmad South Gujarat University, Surat",Ahmedabad,Ahmedabad
2191,Sri Venkateswara College of Engineering,Sri Venkateswara College of Engineering,Hyderabad,Hyderabad
2193,Sri Venkateswara College of Engg.­Madras,Sri Venkateswara College of Engg.­Madras,Chennai,Chennai
2194,Engg. College Tamilnadu,Arunai Engg. College Tamilnadu,Arunai,Chennai
2196,"R.C.PATEL INSTITUTE OF TECHNOLOGY, SHIRPUR","R.C.PATEL INSTITUTE OF TECHNOLOGY, SHIRPUR",Pune,Pune
2197,"VELAMMAL INSTITUE OF TECHNOLOGY, PANCHETTY","VELAMMAL INSTITUE OF TECHNOLOGY, PANCHETTY",Chennai,Chennai
2204,Institute of Aeronautical Engineering College,Institute of Aeronautical Engineering College,Hyderabad,Hyderabad
2205,Deogiri Institute of Engineering and Management Studies Aurangabad,Deogiri Institute of Engineering and Management Studies Aurangabad,Pune,Pune
2208,P V P Siddhartha Institute of Technology,P V P Siddhartha Institute of Technology,Hyderabad,Hyderabad
2211,"College of Engineering, Hassan","Malnad College of Engineering, Hassan",Malnad,Bangalore
2227,Marwadi Education Foundations Group Of Institutions,Marwadi Education Foundations Group Of Institutions,Ahmedabad,Ahmedabad
2234,"SANT DNYANESHWAR SHIKSHAN SANSTHAS ADCE, ASHTA","SANT DNYANESHWAR SHIKSHAN SANSTHAS ADCE, ASHTA",Pune,Pune
2238,"Banasthali Vidyapith, Jaipur Dhirubhai Ambani Inst of Information","Banasthali Vidyapith, Jaipur Dhirubhai Ambani Inst of Information",Delhi,Delhi
2239,"Tech, Gujarat.","Tech, Gujarat.",Ahmedabad,Ahmedabad
2242,SRES Sanjivani College Of Engineering,SRES Sanjivani College Of Engineering,Pune,Pune
2263,V R Siddhartha Engineering College,V R Siddhartha Engineering College,Hyderabad,Hyderabad
2269,nri college of engineering,nri college of engineering,Hyderabad,Hyderabad
2277,"College of Technology, Chennai","KCG College of Technology, Chennai",KCG,Chennai
2278,Matrusri Engineering College,Matrusri Engineering College,Hyderabad,Hyderabad
2286,ANURAG GROUP OF INSTITUITIONS,ANURAG GROUP OF INSTITUITIONS,Hyderabad,Hyderabad
2290,"Inst. of Road Trans, Tech., Erode","Inst. of Road Trans, Tech., Erode",Chennai,Chennai
2292,Shri Ramswaroop Memorial University,Shri Ramswaroop Memorial University,Lucknow,Lucknow
2319,LJ Institute of Engineering,LJ Institute of Engineering,Ahmedabad,Ahmedabad
2346,Institute of Technology,Indian Institute of Technology,Indian,Kolkata
2360,Sinhgad COE ­ Pune,Sinhgad COE ­ Pune,Pune,Pune
2396,Anurag Group Of institutions,Anurag Group Of institutions,Hyderabad,Hyderabad
2402,Hindustan Institute Of Technology And Science,Hindustan Institute Of Technology And Science,Chennai,Chennai
2405,lj,lj,Ahmedabad,Ahmedabad
2431,"ALLIANCE UNIVERSITY, BANGALORE","ALLIANCE UNIVERSITY, BANGALORE",Bangalore,Bangalore
2434,School of Engineering and Applied Sciences,School of Engineering and Applied Sciences,Ahmedabad,Ahmedabad
2445,"AMRITA SCHOOL OF ARTS AND SCIENCES,MYSORE","AMRITA SCHOOL OF ARTS AND SCIENCES,MYSORE",Bangalore,Bangalore
2447,Government Engineering College Modasa,Government Engineering College Modasa,Ahmedabad,Ahmedabad
2453,KAKINADA INSTITUTE OF ENGINEERING,KAKINADA INSTITUTE OF ENGINEERING,Hyderabad,Hyderabad
2456,RK University,RK University,Ahmedabad,Ahmedabad
2458,"Mnm Jain Engg. College, Madras University","Mnm Jain Engg. College, Madras University",Chennai,Chennai
2464,sasi institute of technology engineering,sasi institute of technology engineering,Hyderabad,Hyderabad
2465,"Vidya Academy of Science and Technology, Thrissur","Vidya Academy of Science and Technology, Thrissur",Trivandrum,Trivandrum
2475,"Patnaik University of Technology, Orissa","Biju Patnaik University of Technology, Orissa",Biju,Kolkata
2482,RVS COLLEGE OF ENGINEERING,RVS COLLEGE OF ENGINEERING,Chennai,Chennai
2500,g v acharya institute of engineering and technologyshelu,g v acharya institute of engineering and technologyshelu,Mumbai,Mumbai
2505,COLLEGE OF ENGINEERING ­ TIRUCHENGODE,K.S.R COLLEGE OF ENGINEERING ­ TIRUCHENGODE,K.S.R,Chennai
2514,SVIT,SVIT,Bangalore,Bangalore
2515,"Trident Academy of Technology, Bhubaneswar","Trident Academy of Technology, Bhubaneswar",Kolkata,Kolkata
2526,Graphic Era Institute of Technology,Graphic Era Institute of Technology,Delhi,Delhi
2528,LDRP ITR GANDHINAGAR,LDRP ITR GANDHINAGAR,Ahmedabad,Ahmedabad
2530,dhanekula institute of engineering and technology,dhanekula institute of engineering and technology,Hyderabad,Hyderabad
2544,amritsar college of engg.,amritsar college of engg.,Delhi,Delhi
2549,"PADMABHOOSHAN VASANTDADA PATIL INSTITUTE OF TECHNOLOGY, PUNE","PADMABHOOSHAN VASANTDADA PATIL INSTITUTE OF TECHNOLOGY, PUNE",Pune,Pune
2551,lovely professional university,lovely professional university,Delhi,Delhi
2552,sreepathy institute of management and technology vavannoor palakkad district kerala,sreepathy institute of management and technology vavannoor palakkad district kerala,Trivandrum,Trivandrum
2556,institute of aeronautical engineering,institute of aeronautical engineering,Hyderabad,Hyderabad
2560,Gautam Buddha University,Gautam Buddha University,Delhi,Delhi
2561,UNIVERSITY OF PETROLEUM,UNIVERSITY OF PETROLEUM,Delhi,Delhi
2562,"Haryana Engineering College, Jagadhri","Haryana Engineering College, Jagadhri",Delhi,Delhi
2563,"Amrita School of Arts and Sciences, Mysore","Amrita School of Arts and Sciences, Mysore",Bangalore,Bangalore
2569,"JAWAHARLAL NEHRU NATIONAL COLLEGE OF ENG, SHIMOGA","JAWAHARLAL NEHRU NATIONAL COLLEGE OF ENG, SHIMOGA",Bangalore,Bangalore
2579,K S R Institute for Engineering and Technology,K S R Institute for Engineering and Technology,Chennai,Chennai
2584,AMRITSAR COLLEGE OF ENGG,AMRITSAR COLLEGE OF ENGG,Delhi,Delhi
2588,GB Pant Govt Engg College New Delhi,GB Pant Govt Engg College New Delhi,Delhi,Delhi
2589,"of Computer and System Science, JNU, Delhi","School of Computer and System Science, JNU, Delhi",School,Delhi
2617,"Rita school of arts and sciences,Mysore","Rita school of arts and sciences,Mysore",Bangalore,Bangalore
2622,g pullaiah college of engineering and technology kurnool,g pullaiah college of engineering and technology kurnool,Hyderabad,Hyderabad
2628,"Sardar Patel College of Engg., Bomby","Sardar Patel College of Engg., Bomby",Mumbai,Mumbai
2630,"Jawaharlal Nehru Engg. College, Aurangabad","Jawaharlal Nehru Engg. College, Aurangabad",Pune,Pune
2631,college of engineering adoor,college of engineering adoor,Trivandrum,Trivandrum
2635,SRIRAM ENGINEERING COLLEGE ­ CHENNAI,SRIRAM ENGINEERING COLLEGE ­ CHENNAI,Chennai,Chennai
2640,Sree Buddha College of Enginering pattoor,Sree Buddha College of Enginering pattoor,Trivandrum,Trivandrum
2646,ABACUS INSTITUTE OF ENGINEERING,ABACUS INSTITUTE OF ENGINEERING,Kolkata,Kolkata
2661,"KC College of Engineering, Thane","KC College of Engineering, Thane",Mumbai,Mumbai
2665,"supreme knowledge foundation group of institutions,mankundu,west bengal","supreme knowledge foundation group of institutions,mankundu,west bengal",Kolkata,Kolkata
2686,Institute Of Aeronautical Engineering Dundigal Hyderabad,Institute Of Aeronautical Engineering Dundigal Hyderabad,Hyderabad,Hyderabad
2709,Institute of aeronautical engineering,Institute of aeronautical engineering,Hyderabad,Hyderabad
2725,"Chandigarh Engineering College, Landran","Chandigarh Engineering College, Landran",Delhi,Delhi
