,college_name,college_name_modified,tcs_region,tcs_region_modified
166,SRM University,SRM University,Chennai,Chennai
169,"College of Technology­ G.B. Pant Univ, Pantnagar(UP)","College of Technology­ G.B. Pant Univ, Pantnagar(UP)",Delhi,Delhi
171,IITM GWALIOR,IITM GWALIOR,Delhi,Delhi
178,"Govt. Engineering College, Barton Hills, Trivandrum","Govt. Engineering College, Barton Hills, Trivandrum",Trivandrum,Trivandrum
183,"IMS Engg College, Ghaziabad","IMS Engg College, Ghaziabad",Delhi,Delhi
185,"Fr. Conceicao Rodrigues Instt of Technology, Vashi","Fr. Conceicao Rodrigues Instt of Technology, Vashi",Mumbai,Mumbai
186,"Shri Ram Murti Smarak College of Engg and Tech, Bareilly","Shri Ram Murti Smarak College of Engg and Tech, Bareilly",Lucknow,Lucknow
189,JMIT Radaur,JMIT Radaur,Delhi,Delhi
190,"Vishwakarma Government Engineering College, Gandhinagar","Vishwakarma Government Engineering College, Gandhinagar",Ahmedabad,Ahmedabad
196,Institute of Engg.,Institute of Engg.,Lucknow,Lucknow
200,"Shri Ramdeobaba Kamla Nehru College of Engg., Nagpur","Shri Ramdeobaba Kamla Nehru College of Engg., Nagpur",Mumbai,Mumbai
201,NIT Durgapur,NIT Durgapur,Kolkata,Kolkata
202,"Institute of Technology, Nirma University","Institute of Technology, Nirma University",Ahmedabad,Ahmedabad
208,Meerut Institute of Engineering,Meerut Institute of Engineering,Delhi,Delhi
211,"Vignan's Engineering College, Guntur","Vignan's Engineering College, Guntur",Hyderabad,Hyderabad
213,Ram Meghe Institute of Technology,Prof. Ram Meghe Institute of Technology,Prof.,Pune
216,"G Pulla Reddy Engg College, Kurnool","G Pulla Reddy Engg College, Kurnool",Hyderabad,Hyderabad
217,"Dr. Sivanthi Aditanar College, Tiruchendur","Dr. Sivanthi Aditanar College, Tiruchendur",Chennai,Chennai
219,Thakur College of Engineering,Thakur College of Engineering,Mumbai,Mumbai
230,"Dr. B C Roy Engineering College, Durgapur","Dr. B C Roy Engineering College, Durgapur",Kolkata,Kolkata
232,"Vivekananda Education Society's Institute of Technology, Chembur","Vivekananda Education Society's Institute of Technology, Chembur",Mumbai,Mumbai
235,Lovely Professional University,Lovely Professional University,Delhi,Delhi
239,Indian Inst of Info Tech,Indian Inst of Info Tech,Delhi,Delhi
242,"All India Shri Shivaji Memorial Society' S COE, Pune","All India Shri Shivaji Memorial Society' S COE, Pune",Pune,Pune
243,"St. Francis Inst. of Tech, Borivali","St. Francis Inst. of Tech, Borivali",Mumbai,Mumbai
251,"Birsa Institute of Technology, Sindri","Birsa Institute of Technology, Sindri",Kolkata,Kolkata
252,IIT Guwahati,IIT Guwahati,Kolkata,Kolkata
255,INDIAN INSTITUTE OF TECHNOLOGY Gandhinagar,INDIAN INSTITUTE OF TECHNOLOGY Gandhinagar,Ahmedabad,Ahmedabad
257,"Harcourt Butler Technological Institute, Kanpur","Harcourt Butler Technological Institute, Kanpur",Lucknow,Lucknow
258,RGUKT ­ RK VALLEY,RGUKT ­ RK VALLEY,Hyderabad,Hyderabad
260,PRANVEER SINGH INSTITUTE OF TECHNOLOGY,PRANVEER SINGH INSTITUTE OF TECHNOLOGY,Lucknow,Lucknow
265,"Mahatma Gandhi Institute of Technology, Gandipet, Hyderabad","Mahatma Gandhi Institute of Technology, Gandipet, Hyderabad",Hyderabad,Hyderabad
270,SARDAR PATEL COLLEGE OF INFORMATION TECHNOLOGY,SARDAR PATEL COLLEGE OF INFORMATION TECHNOLOGY,Mumbai,Mumbai
271,"Indian Institute of Engineering Science and Technology, Shibpur","Indian Institute of Engineering Science and Technology, Shibpur",Kolkata,Kolkata
272,"Poornima College of Engineering, Jaipur","Poornima College of Engineering, Jaipur",Delhi,Delhi
277,"Vardhaman College of Engineering, Hyderabad","Vardhaman College of Engineering, Hyderabad",Hyderabad,Hyderabad
280,RCC Institute of Information Technology ­ Kolkata,RCC Institute of Information Technology ­ Kolkata,Kolkata,Kolkata
286,Institute of Engineering and Technology Ahmedabad University,Institute of Engineering and Technology Ahmedabad University,Ahmedabad,Ahmedabad
288,"National Institute of Technology, Warangal","National Institute of Technology, Warangal",Hyderabad,Hyderabad
290,JNTUK UNIVERSITY COLLEGE OF ENGG. VIZIANAGARAM,JNTUK UNIVERSITY COLLEGE OF ENGG. VIZIANAGARAM,Hyderabad,Hyderabad
293,ldrp institute of technology and research,ldrp institute of technology and research,Ahmedabad,Ahmedabad
299,G. H. Patel College of Engg.,G. H. Patel College of Engg.,Ahmedabad,Ahmedabad
300,Valliammai Engineering College ­ Anna University,Valliammai Engineering College ­ Anna University,Chennai,Chennai
303,College of Technology,PSG College of Technology,PSG,Chennai
304,"K. J. Somaiya College of Engineering, Mumbai","K. J. Somaiya College of Engineering, Mumbai",Mumbai,Mumbai
305,"Yeshwantrao Chawan College of Engg,Nagpur","Yeshwantrao Chawan College of Engg,Nagpur",Mumbai,Mumbai
308,"Srm Engineering College., Kattankulathur","Srm Engineering College., Kattankulathur",Chennai,Chennai
313,"Haldia Instt of Technology, Haldia ­ W.B.","Haldia Instt of Technology, Haldia ­ W.B.",Kolkata,Kolkata
318,,,Delhi,Delhi
319,"BIPIN TRIPATHI KUMAON INSTITUTE OF TECHNOLOGY, DWARAHAT","BIPIN TRIPATHI KUMAON INSTITUTE OF TECHNOLOGY, DWARAHAT",Delhi,Delhi
321,"Rajarshi Sahu College of Engineering, Pune","Rajarshi Sahu College of Engineering, Pune",Pune,Pune
323,"Narula Institute of Tech., Kolkata","Narula Institute of Tech., Kolkata",Kolkata,Kolkata
326,RGUKT ­ NUZVID,RGUKT ­ NUZVID,Hyderabad,Hyderabad
327,Consceicao Rodrigues College of Engg,Fr. Consceicao Rodrigues College of Engg,Fr.,Mumbai
329,ldrp,ldrp,Ahmedabad,Ahmedabad
330,NIT PATNA,NIT PATNA,Kolkata,Kolkata
333,Jalpaiguri Govt Engg College­ Jalpaiguri,Jalpaiguri Govt Engg College­ Jalpaiguri,Kolkata,Kolkata
334,Northern India Engineering College,Northern India Engineering College,Delhi,Delhi
337,Marwadi Education Foundations Group of Institutions,Marwadi Education Foundations Group of Institutions,Ahmedabad,Ahmedabad
